m, 	 n, 	 a, 		 B, 		 Tb, 		 Mb, 		 COx, 		 POx, 		 TOx, 		 MOx
12, 	 384,	 0.51285,	 7.582, 	 134.108, 	 97.571, 	 8.305, 	 2.099, 	 10.405, 	0.153
12, 	 384,	 0.51285,	 7.749, 	 134.108, 	 97.571, 	 6.484, 	 2.324, 	 8.807, 	0.534
12, 	 384,	 0.51285,	 7.915, 	 134.108, 	 97.571, 	 4.691, 	 2.485, 	 7.176, 	1.481
12, 	 384,	 0.51285,	 8.082, 	 134.108, 	 97.571, 	 2.994, 	 2.743, 	 5.737, 	3.030
12, 	 384,	 0.51285,	 8.249, 	 134.108, 	 97.571, 	 1.563, 	 2.996, 	 4.559, 	4.891
12, 	 384,	 0.51285,	 8.415, 	 134.108, 	 97.571, 	 0.631, 	 3.233, 	 3.864, 	6.854
12, 	 384,	 0.51285,	 8.582, 	 134.108, 	 97.571, 	 0.207, 	 3.559, 	 3.765, 	8.844
12, 	 384,	 0.51285,	 8.749, 	 134.108, 	 97.571, 	 0.061, 	 3.852, 	 3.913, 	10.842
12, 	 384,	 0.51285,	 8.915, 	 134.108, 	 97.571, 	 0.017, 	 4.233, 	 4.251, 	12.841
12, 	 384,	 0.51285,	 9.082, 	 134.108, 	 97.571, 	 0.005, 	 4.542, 	 4.547, 	14.841
12, 	 384,	 0.51285,	 9.249, 	 134.108, 	 97.571, 	 0.001, 	 4.972, 	 4.973, 	16.841

