m, 	 n, 	 a, 		 B, 		 Tb, 		 Mb, 		 COx, 		 POx, 		 TOx, 		 MOx, 		 Tt, 		 Mt
12, 	 384,	 0.50163,	 6.842, 	 135.307, 	 97.573, 	 8.780, 	 1.796, 	 10.577, 	 0.007, 	 145.883, 	 97.579
12, 	 384,	 0.50109,	 6.842, 	 135.398, 	 97.573, 	 8.384, 	 1.837, 	 10.221, 	 0.008, 	 145.619, 	 97.580
12, 	 384,	 0.50055,	 6.842, 	 135.490, 	 97.573, 	 7.987, 	 1.860, 	 9.847, 	 0.009, 	 145.337, 	 97.582
12, 	 384,	 0.50000,	 6.842, 	 135.584, 	 97.573, 	 7.590, 	 1.823, 	 9.413, 	 0.010, 	 144.997, 	 97.583
12, 	 384,	 0.49945,	 6.842, 	 135.678, 	 97.573, 	 7.193, 	 1.889, 	 9.082, 	 0.012, 	 144.760, 	 97.584
12, 	 384,	 0.49891,	 6.842, 	 135.773, 	 97.573, 	 6.796, 	 1.962, 	 8.759, 	 0.013, 	 144.532, 	 97.586
12, 	 384,	 0.49836,	 6.842, 	 135.869, 	 97.573, 	 6.400, 	 1.963, 	 8.363, 	 0.015, 	 144.232, 	 97.588
12, 	 384,	 0.49781,	 6.842, 	 135.965, 	 97.573, 	 6.005, 	 2.000, 	 8.005, 	 0.018, 	 143.970, 	 97.590
12, 	 384,	 0.49727,	 6.842, 	 136.062, 	 97.573, 	 5.612, 	 1.980, 	 7.592, 	 0.020, 	 143.654, 	 97.593
12, 	 384,	 0.49672,	 6.842, 	 136.159, 	 97.573, 	 5.221, 	 2.004, 	 7.225, 	 0.023, 	 143.384, 	 97.596
12, 	 384,	 0.49617,	 6.842, 	 136.257, 	 97.573, 	 4.833, 	 1.999, 	 6.832, 	 0.027, 	 143.089, 	 97.599
12, 	 384,	 0.49562,	 6.842, 	 136.355, 	 97.573, 	 4.448, 	 2.081, 	 6.529, 	 0.031, 	 142.884, 	 97.603
12, 	 384,	 0.49507,	 6.842, 	 136.453, 	 97.573, 	 4.069, 	 2.108, 	 6.177, 	 0.035, 	 142.630, 	 97.608
12, 	 384,	 0.49452,	 6.842, 	 136.552, 	 97.573, 	 3.696, 	 2.162, 	 5.858, 	 0.040, 	 142.409, 	 97.613
12, 	 384,	 0.49397,	 6.842, 	 136.650, 	 97.573, 	 3.330, 	 2.136, 	 5.466, 	 0.046, 	 142.117, 	 97.619
12, 	 384,	 0.49341,	 6.842, 	 136.749, 	 97.573, 	 2.975, 	 2.169, 	 5.145, 	 0.053, 	 141.894, 	 97.626
12, 	 384,	 0.49286,	 6.842, 	 136.848, 	 97.573, 	 2.633, 	 2.243, 	 4.876, 	 0.061, 	 141.724, 	 97.634
12, 	 384,	 0.49231,	 6.842, 	 136.948, 	 97.573, 	 2.306, 	 2.176, 	 4.482, 	 0.070, 	 141.429, 	 97.642
12, 	 384,	 0.49176,	 6.842, 	 137.047, 	 97.573, 	 1.996, 	 2.264, 	 4.261, 	 0.080, 	 141.308, 	 97.652
12, 	 384,	 0.49120,	 6.842, 	 137.147, 	 97.573, 	 1.708, 	 2.300, 	 4.008, 	 0.091, 	 141.155, 	 97.664
12, 	 384,	 0.49065,	 6.842, 	 137.247, 	 97.573, 	 1.443, 	 2.340, 	 3.784, 	 0.104, 	 141.030, 	 97.677
12, 	 384,	 0.49009,	 6.842, 	 137.346, 	 97.573, 	 1.204, 	 2.366, 	 3.570, 	 0.119, 	 140.917, 	 97.692
12, 	 384,	 0.48954,	 6.842, 	 137.446, 	 97.573, 	 0.992, 	 2.401, 	 3.393, 	 0.136, 	 140.840, 	 97.709
12, 	 384,	 0.48898,	 6.842, 	 137.546, 	 97.573, 	 0.808, 	 2.397, 	 3.205, 	 0.155, 	 140.751, 	 97.728
12, 	 384,	 0.48842,	 6.842, 	 137.646, 	 97.573, 	 0.651, 	 2.473, 	 3.124, 	 0.176, 	 140.770, 	 97.749
12, 	 384,	 0.48787,	 6.842, 	 137.746, 	 97.573, 	 0.519, 	 2.449, 	 2.968, 	 0.201, 	 140.714, 	 97.774
12, 	 384,	 0.48731,	 6.842, 	 137.846, 	 97.573, 	 0.410, 	 2.542, 	 2.951, 	 0.228, 	 140.798, 	 97.801
12, 	 384,	 0.48675,	 6.842, 	 137.947, 	 97.573, 	 0.321, 	 2.472, 	 2.794, 	 0.259, 	 140.740, 	 97.832

12, 	 384,	 0.50326,	 6.926, 	 135.041, 	 97.573, 	 9.049, 	 1.759, 	 10.808, 	 0.009, 	 145.850, 	 97.581
12, 	 384,	 0.50272,	 6.926, 	 135.128, 	 97.573, 	 8.656, 	 1.825, 	 10.481, 	 0.010, 	 145.609, 	 97.583
12, 	 384,	 0.50218,	 6.926, 	 135.217, 	 97.573, 	 8.262, 	 1.829, 	 10.090, 	 0.011, 	 145.307, 	 97.584
12, 	 384,	 0.50163,	 6.926, 	 135.307, 	 97.573, 	 7.866, 	 1.907, 	 9.773, 	 0.013, 	 145.080, 	 97.586
12, 	 384,	 0.50109,	 6.926, 	 135.398, 	 97.573, 	 7.471, 	 1.938, 	 9.409, 	 0.015, 	 144.807, 	 97.588
12, 	 384,	 0.50055,	 6.926, 	 135.490, 	 97.573, 	 7.075, 	 1.918, 	 8.993, 	 0.017, 	 144.484, 	 97.590
12, 	 384,	 0.50000,	 6.926, 	 135.584, 	 97.573, 	 6.680, 	 1.950, 	 8.629, 	 0.020, 	 144.213, 	 97.593
12, 	 384,	 0.49945,	 6.926, 	 135.678, 	 97.573, 	 6.285, 	 1.974, 	 8.259, 	 0.023, 	 143.937, 	 97.596
12, 	 384,	 0.49891,	 6.926, 	 135.773, 	 97.573, 	 5.891, 	 2.006, 	 7.897, 	 0.026, 	 143.671, 	 97.599
12, 	 384,	 0.49836,	 6.926, 	 135.869, 	 97.573, 	 5.499, 	 2.051, 	 7.550, 	 0.030, 	 143.419, 	 97.603
12, 	 384,	 0.49781,	 6.926, 	 135.965, 	 97.573, 	 5.109, 	 2.097, 	 7.206, 	 0.035, 	 143.171, 	 97.608
12, 	 384,	 0.49727,	 6.926, 	 136.062, 	 97.573, 	 4.721, 	 2.090, 	 6.812, 	 0.040, 	 142.873, 	 97.613
