m, 	 n, 	 M,	 	 POx
 2, 	  80, 	 19.9255, 	 0.1475
 2, 	  80, 	 20.4255, 	 0.1724
 2, 	  80, 	 20.9255, 	 0.1994
 2, 	  80, 	 21.4255, 	 0.2263
 2, 	  80, 	 21.9255, 	 0.2599
 2, 	  80, 	 22.4255, 	 0.2980
 2, 	  80, 	 22.9255, 	 0.3403
 2, 	  80, 	 23.4255, 	 0.3901
 2, 	  80, 	 23.9255, 	 0.4368
 2, 	  80, 	 24.4255, 	 0.4997
 2, 	  80, 	 24.9255, 	 0.5710
 2, 	  80, 	 25.4255, 	 0.6348
 2, 	  80, 	 25.9255, 	 0.7211
 2, 	  80, 	 26.4255, 	 0.7977
 2, 	  80, 	 26.9255, 	 0.9064
 2, 	  80, 	 27.4255, 	 1.0370
 2, 	  80, 	 27.9255, 	 1.1656
 2, 	  80, 	 28.4255, 	 1.3301
 2, 	  80, 	 28.9255, 	 1.4764

 3, 	  80, 	 19.9255, 	 0.4231
 3, 	  80, 	 20.4255, 	 0.4508
 3, 	  80, 	 20.9255, 	 0.5159
 3, 	  80, 	 21.4255, 	 0.5627
 3, 	  80, 	 21.9255, 	 0.6145
 3, 	  80, 	 22.4255, 	 0.6800
 3, 	  80, 	 22.9255, 	 0.7373
 3, 	  80, 	 23.4255, 	 0.8216
 3, 	  80, 	 23.9255, 	 0.8939
 3, 	  80, 	 24.4255, 	 0.9864
 3, 	  80, 	 24.9255, 	 1.0778
 3, 	  80, 	 25.4255, 	 1.1795
 3, 	  80, 	 25.9255, 	 1.3077
 3, 	  80, 	 26.4255, 	 1.3906
 3, 	  80, 	 26.9255, 	 1.5652
 3, 	  80, 	 27.4255, 	 1.6591
 3, 	  80, 	 27.9255, 	 1.8290
 3, 	  80, 	 28.4255, 	 1.9929
 3, 	  80, 	 28.9255, 	 2.1867

 4, 	  80, 	 19.9255, 	 0.7144
 4, 	  80, 	 20.4255, 	 0.8134
 4, 	  80, 	 20.9255, 	 0.8579
 4, 	  80, 	 21.4255, 	 0.9017
 4, 	  80, 	 21.9255, 	 1.0132
 4, 	  80, 	 22.4255, 	 1.0734
 4, 	  80, 	 22.9255, 	 1.1784
 4, 	  80, 	 23.4255, 	 1.2584
 4, 	  80, 	 23.9255, 	 1.3481
 4, 	  80, 	 24.4255, 	 1.4393
 4, 	  80, 	 24.9255, 	 1.5523
 4, 	  80, 	 25.4255, 	 1.6913
 4, 	  80, 	 25.9255, 	 1.8098
 4, 	  80, 	 26.4255, 	 1.9510
 4, 	  80, 	 26.9255, 	 2.0767
 4, 	  80, 	 27.4255, 	 2.2434
 4, 	  80, 	 27.9255, 	 2.4210
 4, 	  80, 	 28.4255, 	 2.5731
 4, 	  80, 	 28.9255, 	 2.7830

