m, 	 a, 	 POx
 2, 	 0.5446, 	 0.1022
 2, 	 0.5358, 	 0.1451
 2, 	 0.5270, 	 0.2001
 2, 	 0.5180, 	 0.2679
 2, 	 0.5090, 	 0.3549
 2, 	 0.5000, 	 0.4648
 2, 	 0.4909, 	 0.5950
 2, 	 0.4818, 	 0.7682
 2, 	 0.4726, 	 0.9955
 2, 	 0.4633, 	 1.2676
 2, 	 0.4540, 	 1.5856

 3, 	 0.5446, 	 0.3336
 3, 	 0.5358, 	 0.4093
 3, 	 0.5270, 	 0.5152
 3, 	 0.5180, 	 0.6321
 3, 	 0.5090, 	 0.7813
 3, 	 0.5000, 	 0.9441
 3, 	 0.4909, 	 1.1149
 3, 	 0.4818, 	 1.3750
 3, 	 0.4726, 	 1.6286
 3, 	 0.4633, 	 1.9477
 3, 	 0.4540, 	 2.2470

 4, 	 0.5446, 	 0.6286
 4, 	 0.5358, 	 0.7298
 4, 	 0.5270, 	 0.8728
 4, 	 0.5180, 	 1.0328
 4, 	 0.5090, 	 1.2155
 4, 	 0.5000, 	 1.4065
 4, 	 0.4909, 	 1.6491
 4, 	 0.4818, 	 1.8962
 4, 	 0.4726, 	 2.1775
 4, 	 0.4633, 	 2.5299
 4, 	 0.4540, 	 2.8544

