m, 	 n, 	 M_max,	 POx     
 2, 	  20, 	   1, 	 1.2595
 2, 	  25, 	   1, 	 1.3313
 2, 	  30, 	   1, 	 1.3741
 2, 	  35, 	   1, 	 1.4346
 2, 	  40, 	   1, 	 1.4287
 2, 	  45, 	   1, 	 1.4529
 2, 	  50, 	   1, 	 1.4915
 2, 	  55, 	   1, 	 1.4943
 2, 	  60, 	   1, 	 1.5096
 2, 	  65, 	   1, 	 1.5149
 2, 	  70, 	   1, 	 1.5300
 2, 	  75, 	   1, 	 1.5658
 2, 	  80, 	   1, 	 1.5736
             
 3, 	  20, 	   1, 	 1.5783
 3, 	  25, 	   1, 	 1.6344
 3, 	  30, 	   1, 	 1.8609
 3, 	  35, 	   1, 	 1.9224
 3, 	  40, 	   1, 	 2.0246
 3, 	  45, 	   1, 	 2.0319
 3, 	  50, 	   1, 	 2.1174
 3, 	  55, 	   1, 	 2.1187
 3, 	  60, 	   1, 	 2.1806
 3, 	  65, 	   1, 	 2.1956
 3, 	  70, 	   1, 	 2.2180
 3, 	  75, 	   1, 	 2.2345
 3, 	  80, 	   1, 	 2.2513
             
 4, 	  20, 	   1, 	 2.1349
 4, 	  25, 	   1, 	 2.0182
 4, 	  30, 	   1, 	 2.1959
 4, 	  35, 	   1, 	 2.3983
 4, 	  40, 	   1, 	 2.3320
 4, 	  45, 	   1, 	 2.4873
 4, 	  50, 	   1, 	 2.6517
 4, 	  55, 	   1, 	 2.7140
 4, 	  60, 	   1, 	 2.7311
 4, 	  65, 	   1, 	 2.7607
 4, 	  70, 	   1, 	 2.8554
 4, 	  75, 	   1, 	 2.8645
 4, 	  80, 	   1, 	 2.8885

