m, 	 n, 	 M_max,	 POx     
2, 	  20, 	   0, 	 0.3840
2, 	  25, 	   0, 	 0.3641
2, 	  30, 	   0, 	 0.3223
2, 	  35, 	   0, 	 0.2828
2, 	  40, 	   0, 	 0.2774
2, 	  45, 	   0, 	 0.2666
2, 	  50, 	   0, 	 0.2299
2, 	  55, 	   0, 	 0.2147
2, 	  60, 	   0, 	 0.2050
2, 	  65, 	   0, 	 0.1850
2, 	  70, 	   0, 	 0.1728
2, 	  75, 	   0, 	 0.1607
2, 	  80, 	   0, 	 0.1546

3, 	  20, 	   0, 	 1.0824
3, 	  25, 	   0, 	 0.6974
3, 	  30, 	   0, 	 0.5906
3, 	  35, 	   0, 	 0.6772
3, 	  40, 	   0, 	 0.5489
3, 	  45, 	   0, 	 0.5902
3, 	  50, 	   0, 	 0.5770
3, 	  55, 	   0, 	 0.5578
3, 	  60, 	   0, 	 0.5145
3, 	  65, 	   0, 	 0.4890
3, 	  70, 	   0, 	 0.4645
3, 	  75, 	   0, 	 0.4296
3, 	  80, 	   0, 	 0.4263

4, 	  20, 	   0, 	 0.9607
4, 	  25, 	   0, 	 0.7306
4, 	  30, 	   0, 	 0.8157
4, 	  35, 	   0, 	 0.7652
4, 	  40, 	   0, 	 0.7640
4, 	  45, 	   0, 	 0.8389
4, 	  50, 	   0, 	 0.8482
4, 	  55, 	   0, 	 0.8891
4, 	  60, 	   0, 	 0.8135
4, 	  65, 	   0, 	 0.7618
4, 	  70, 	   0, 	 0.7937
4, 	  75, 	   0, 	 0.7340
4, 	  80, 	   0, 	 0.7270
